Gene	Groups	pval	padj
ENSG00000126903	Group 1 vs Group 2	2.6982753759947354e-08	1.4031031955172623e-06
ENSG00000160219	Group 1 vs Group 2	7.098852556140872e-08	1.8457016645966268e-06
ENSG00000071889	Group 1 vs Group 2	7.490760302660699e-07	1.2983984524611878e-05
ENSG00000185973	Group 1 vs Group 2	2.005643738254573e-06	2.607336859730945e-05
ENSG00000130830	Group 1 vs Group 2	2.6237984938315684e-06	2.728750433584831e-05
ENSG00000160211	Group 1 vs Group 2	6.718342922480514e-06	4.787333882024581e-05
ENSG00000269335	Group 1 vs Group 2	5.6608109102303464e-06	4.787333882024581e-05
ENSG00000102178	Group 1 vs Group 2	8.28577018042716e-06	4.787333882024581e-05
ENSG00000102125	Group 1 vs Group 2	8.214475235371958e-06	4.787333882024581e-05
ENSG00000165775	Group 1 vs Group 2	1.2319639765715787e-05	6.232893791277733e-05
ENSG00000177854	Group 1 vs Group 2	1.3184967635395204e-05	6.232893791277733e-05
ENSG00000203879	Group 1 vs Group 2	2.495865942985553e-05	0.0001081541908627073
ENSG00000102119	Group 1 vs Group 2	4.6326067948037066e-05	0.00018530427179214826
ENSG00000102032	Group 1 vs Group 2	0.00011117591317710233	0.0004129391060863801
ENSG00000172534	Group 1 vs Group 2	0.00014082553341371952	0.00048819518250089436
ENSG00000169057	Group 1 vs Group 2	0.00019996112202835887	0.0006488085175578337
ENSG00000184216	Group 1 vs Group 2	0.00021211047689390718	0.0006488085175578337
ENSG00000071859	Group 1 vs Group 2	0.0002385077062072305	0.0006527579327776836
ENSG00000182484	Group 1 vs Group 2	0.000226459988289506	0.0006527579327776836
ENSG00000196976	Group 1 vs Group 2	0.00028182071235362895	0.0007327338521194352
ENSG00000185010	Group 1 vs Group 2	0.00029854125416787835	0.0007392450103204607
ENSG00000131002	Group 1 vs Group 2	0.00216754427264382	0.0051232864626126655
ENSG00000197180	Group 1 vs Group 2	0.0022906898803259712	0.005178951033780457
ENSG00000277203	Group 1 vs Group 2	0.002755850117258457	0.005838877766027655
ENSG00000155962	Group 1 vs Group 2	0.0028071527721286803	0.005838877766027655
ENSG00000071553	Group 1 vs Group 2	0.0037063696951312535	0.007394408128352861
ENSG00000278212	Group 1 vs Group 2	0.003839404220490909	0.007394408128352861
ENSG00000013563	Group 1 vs Group 2	0.004689755158863447	0.00840921614692756
ENSG00000260197	Group 1 vs Group 2	0.004603295110367769	0.00840921614692756
ENSG00000168939	Group 1 vs Group 2	0.006949973690478673	0.012046621063496368
ENSG00000130827	Group 1 vs Group 2	0.01311559748297305	0.022000357068212857
ENSG00000012817	Group 1 vs Group 2	0.01374601599418729	0.022337275990554344
ENSG00000210144	Group 1 vs Group 2	0.01758072981775595	0.027702968197676044
ENSG00000130826	Group 1 vs Group 2	0.022107109635775595	0.03381087356059797
ENSG00000129824	Group 1 vs Group 2	0.05736004821753029	0.085220643066045
ENSG00000210140	Group 1 vs Group 2	0.07641485670666275	0.1103770152429573
ENSG00000165246	Group 1 vs Group 2	0.09177518707330064	0.128981343994909
ENSG00000114374	Group 1 vs Group 2	0.10506170204259503	0.1437686449003932
ENSG00000092377	Group 1 vs Group 2	0.1590293347558297	0.21203911300777292
ENSG00000099725	Group 1 vs Group 2	0.17511492888372682	0.22764940754884486
ENSG00000155959	Group 1 vs Group 2	0.41717392490349803	0.5290986364629732
ENSG00000176728	Group 1 vs Group 2	0.45113761739426983	0.5455617698721403
ENSG00000198692	Group 1 vs Group 2	0.4500188026084758	0.5455617698721403
ENSG00000273906	Group 1 vs Group 2	0.4715523332733065	0.5572891211411803
ENSG00000183878	Group 1 vs Group 2	0.5235532518103979	0.604994868758682
ENSG00000067048	Group 1 vs Group 2	0.564395356357795	0.6380121419696814
ENSG00000124333	Group 1 vs Group 2	0.5885841002598751	0.6511994300747553
ENSG00000067646	Group 1 vs Group 2	0.8026406365779918	0.8695273562928244
ENSG00000185515	Group 1 vs Group 2	0.8696266404801551	0.9228690878564912
ENSG00000155961	Group 1 vs Group 2	0.9628072430329755	0.9732179506160741
ENSG00000210196	Group 1 vs Group 2	0.9732179506160741	0.9732179506160741
ENSG00000280195	Group 1 vs Group 2	0.9613167808354357	0.9732179506160741
