ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
896	265	1536	82	720	916	1050	145	874	1383	253	4076	1905	167	3145	3090	2700	118	1578	254	461	1126	99	152	161	154	5255	379	39	85	2916	2556	242	1326	710	264	1467	68	751	572	258	269	168	641	1688	530	144	538	71	361	55	0
688	108	1301	65	574	749	764	68	536	1088	243	3041	1339	108	1975	2373	1740	142	1442	236	126	502	55	114	127	147	3956	232	23	48	1717	1489	100	818	810	107	445	64	290	235	211	248	160	152	667	229	84	242	64	239	24	0
569	210	1580	126	800	817	932	87	804	1460	304	3884	1420	99	2523	3007	2581	319	1754	192	425	1657	141	117	111	120	7224	335	38	150	2967	2565	219	1128	519	291	1542	163	761	725	444	614	460	680	1875	737	228	536	113	254	38	0
532	119	926	72	539	662	682	47	547	1110	237	2878	1270	39	1378	976	1343	103	640	248	153	724	87	154	59	158	3923	210	11	38	1105	1255	1253	659	353	113	506	80	513	258	291	303	167	300	603	239	90	268	60	115	31	0
412	120	925	72	435	442	810	73	484	753	147	2674	1133	102	1370	1605	1141	54	1295	201	180	456	68	32	54	84	2799	160	10	45	1288	1361	192	630	498	121	333	45	358	132	206	187	93	191	480	158	61	147	18	249	8	0
1515	384	3916	235	1416	2231	1504	72	1157	5710	846	5504	3466	102	2318	1654	2505	270	1281	1226	654	3022	400	103	210	378	9581	398	56	90	1422	2201	1244	1917	5533	497	2519	173	997	1077	811	931	509	1189	1870	933	472	731	225	708	77	0
512	113	1500	109	785	1039	992	49	484	2552	490	3985	1912	147	1194	2207	1399	200	2336	526	259	871	204	140	97	84	4206	169	26	97	943	1291	994	954	933	139	339	85	333	556	525	535	248	282	658	395	76	345	60	435	31	0
468	66	1139	62	557	671	525	109	569	1256	188	2861	1344	76	2111	2306	1756	150	1063	188	236	1197	88	70	64	217	5187	247	19	32	2075	1714	119	1032	1574	196	2330	107	284	239	238	331	244	570	1263	335	220	435	43	132	72	0
481	520	962	123	573	667	1345	128	741	713	193	3561	1293	191	2617	2240	2063	285	1125	240	229	883	69	78	227	139	2750	302	43	79	2104	2825	227	1015	230	162	690	20	946	194	193	174	70	365	952	319	142	216	96	46	31	0
1037	450	2102	227	907	738	1225	23	418	3044	470	3368	2232	36	1158	697	1365	152	598	585	1048	1892	99	110	266	206	4745	267	25	96	964	1533	601	588	3365	425	1938	46	679	710	453	780	165	779	1680	806	352	424	169	1120	26	0
